frame,time_s,side,shoulder_elev,elbow_flex
386,12.8667,right,-38.44,82.74
387,12.9,right,-37.92,86.31
388,12.9333,right,-38.68,88.78
389,12.9667,right,-39.28,89.52
390,13.0,right,-39.92,92.35
391,13.0333,right,-39.77,95.8
392,13.0667,right,-41.17,102.39
393,13.1,right,-43.77,103.71
394,13.1333,right,-45.54,106.66
395,13.1667,right,-47.54,109.85
396,13.2,right,-51.33,119.17
397,13.2333,right,-53.95,122.92
398,13.2667,right,-57.76,129.55
399,13.3,right,-64.05,140.53
400,13.3333,right,-66.87,144.47
401,13.3667,right,-67.53,148.66
402,13.4,right,-69.26,151.5
403,13.4333,right,-68.57,153.82
404,13.4667,right,-67.17,154.14
405,13.5,right,-66.51,154.66
406,13.5333,right,-67.16,153.72
407,13.5667,right,-67.88,154.7
408,13.6,right,-70.26,159.5
409,13.6333,right,-71.7,158.71
410,13.6667,right,-72.81,155.53
411,13.7,right,-74.24,156.1
412,13.7333,right,-72.07,153.85
413,13.7667,right,-71.7,151.86
414,13.8,right,-74.1,150.91
415,13.8333,right,-71.87,148.9
416,13.8667,right,-72.17,148.72
417,13.9,right,-72.68,146.75
418,13.9333,right,-72.15,146.65
419,13.9667,right,-72.67,146.27
420,14.0,right,-72.59,145.78
421,14.0333,right,-73.33,145.85
422,14.0667,right,-73.53,146.59
423,14.1,right,-73.48,147.63
424,14.1333,right,-73.17,149.68
425,14.1667,right,-72.6,151.71
426,14.2,right,-72.18,155.64
427,14.2333,right,-71.27,156.36
428,14.2667,right,-70.4,155.57
429,14.3,right,-70.2,156.65
430,14.3333,right,-67.92,157.27
431,14.3667,right,-67.69,156.46
432,14.4,right,-67.18,156.01
433,14.4333,right,-67.32,156.17
434,14.4667,right,-67.09,155.83
435,14.5,right,-67.6,155.08
436,14.5333,right,-68.47,155.26
437,14.5667,right,-68.79,151.55
438,14.6,right,-69.91,147.65
439,14.6333,right,-68.81,137.55
440,14.6667,right,-69.44,129.35
441,14.7,right,-70.76,122.11
442,14.7333,right,-68.43,107.93
443,14.7667,right,-64.01,104.42
444,14.8,right,-62.27,95.14
445,14.8333,right,-57.13,88.62
446,14.8667,right,-53.43,88.83
447,14.9,right,-50.91,86.84
448,14.9333,right,-48.12,88.44
449,14.9667,right,-46.38,90.58
450,15.0,right,-47.1,92.57
451,15.0333,right,-48.12,94.88
452,15.0667,right,-53.01,92.45
453,15.1,right,-54.48,94.49
454,15.1333,right,-57.96,97.39
455,15.1667,right,-58.46,104.43
456,15.2,right,-58.68,106.18
457,15.2333,right,-61.1,109.85
458,15.2667,right,-58.27,108.53
459,15.3,right,-60.13,108.57
460,15.3333,right,-59.89,108.01
461,15.3667,right,-60.3,108.31
462,15.4,right,-62.36,107.58
463,15.4333,right,-61.65,109.27
464,15.4667,right,-61.45,108.11
465,15.5,right,-62.09,108.77
466,15.5333,right,-64.07,109.86
467,15.5667,right,-64.34,111.34
468,15.6,right,-65.44,111.81
469,15.6333,right,-64.99,112.96
470,15.6667,right,-65.38,114.59
471,15.7,right,-64.84,115.15
472,15.7333,right,-64.77,114.89
473,15.7667,right,-64.5,114.67
474,15.8,right,-66.55,112.94
475,15.8333,right,-66.07,109.96
476,15.8667,right,-65.72,109.79
477,15.9,right,-66.75,110.43
478,15.9333,right,-69.71,110.42
479,15.9667,right,-69.04,110.66
480,16.0,right,-68.34,110.09
481,16.0333,right,-69.05,109.2
482,16.0667,right,-66.66,109.43
483,16.1,right,-66.97,109.52
484,16.1333,right,-66.47,108.25
485,16.1667,right,-68.4,107.16
486,16.2,right,-67.69,107.75
487,16.2333,right,-68.49,107.89
488,16.2667,right,-68.86,108.29
489,16.3,right,-68.31,109.21
490,16.3333,right,-66.96,111.11
491,16.3667,right,-66.3,112.13
492,16.4,right,-69.37,112.03
493,16.4333,right,-68.13,112.86
494,16.4667,right,-68.23,115.38
495,16.5,right,-69.32,119.35
496,16.5333,right,-68.65,118.53
497,16.5667,right,-69.05,118.78
498,16.6,right,-68.45,116.17
499,16.6333,right,-67.01,113.97
500,16.6667,right,-67.0,113.12
501,16.7,right,-65.05,110.03
502,16.7333,right,-63.99,107.7
503,16.7667,right,-62.86,105.97
504,16.8,right,-60.78,105.28
505,16.8333,right,-59.21,103.67
506,16.8667,right,-57.44,103.25
507,16.9,right,-55.71,102.69
508,16.9333,right,-53.88,99.49
509,16.9667,right,-52.35,98.28
510,17.0,right,-50.89,94.56
511,17.0333,right,-49.7,90.29
512,17.0667,right,-48.16,87.47
513,17.1,right,-46.08,84.6
514,17.1333,right,-44.39,79.28
515,17.1667,right,-42.58,78.68
516,17.2,right,-37.48,75.15
517,17.2333,right,-33.77,73.76
518,17.2667,right,-32.39,71.82
519,17.3,right,-30.27,69.74
520,17.3333,right,-31.38,70.37
521,17.3667,right,-34.05,71.33
522,17.4,right,-34.45,72.21
523,17.4333,right,-34.98,71.95
524,17.4667,right,-34.56,72.49
525,17.5,right,-35.03,75.11
526,17.5333,right,-35.64,74.75
527,17.5667,right,-40.12,72.55
528,17.6,right,-44.28,69.13
529,17.6333,right,-50.57,72.09
530,17.6667,right,-52.61,76.84
531,17.7,right,-54.25,88.87
532,17.7333,right,-59.35,99.13
533,17.7667,right,-61.7,107.36
534,17.8,right,-62.41,110.21
535,17.8333,right,-61.7,111.59
536,17.8667,right,-60.85,111.13
537,17.9,right,-62.84,110.98
538,17.9333,right,-62.54,110.07
539,17.9667,right,-63.3,108.92
540,18.0,right,-61.57,110.96
541,18.0333,right,-61.5,112.69
542,18.0667,right,-62.15,113.03
543,18.1,right,-61.9,113.07
544,18.1333,right,-61.43,113.29
545,18.1667,right,-62.02,111.47
546,18.2,right,-63.64,110.88
547,18.2333,right,-62.65,110.61
548,18.2667,right,-62.02,111.88
549,18.3,right,-62.21,112.3
550,18.3333,right,-63.1,112.28
551,18.3667,right,-63.23,112.21
552,18.4,right,-64.05,112.19
553,18.4333,right,-65.13,112.8
554,18.4667,right,-65.63,112.49
555,18.5,right,-66.67,113.65
556,18.5333,right,-68.46,113.82
557,18.5667,right,-69.4,113.78
558,18.6,right,-68.82,114.26
559,18.6333,right,-68.54,115.13
560,18.6667,right,-67.45,114.68
561,18.7,right,-67.17,114.51
562,18.7333,right,-65.62,112.14
563,18.7667,right,-64.63,109.85
564,18.8,right,-64.35,109.01
565,18.8333,right,-64.93,107.93
566,18.8667,right,-65.54,108.39
567,18.9,right,-66.18,107.65
568,18.9333,right,-69.49,108.57
569,18.9667,right,-72.2,111.91
570,19.0,right,-72.55,113.36
571,19.0333,right,-74.81,114.54
572,19.0667,right,-75.88,112.29
573,19.1,right,-75.94,112.69
574,19.1333,right,-75.97,112.06
575,19.1667,right,-75.44,112.58
576,19.2,right,-75.3,111.8
577,19.2333,right,-75.71,111.8
578,19.2667,right,-75.55,111.73
579,19.3,right,-74.63,113.22
580,19.3333,right,-73.12,113.84
581,19.3667,right,-71.94,114.69
582,19.4,right,-71.23,115.8
583,19.4333,right,-70.11,115.36
584,19.4667,right,-70.38,115.52
585,19.5,right,-70.71,115.72
586,19.5333,right,-71.24,115.71
587,19.5667,right,-70.19,116.58
588,19.6,right,-71.88,117.27
589,19.6333,right,-72.83,116.67
590,19.6667,right,-71.46,113.86
591,19.7,right,-70.71,113.43
592,19.7333,right,-71.22,114.75
593,19.7667,right,-71.43,114.23
594,19.8,right,-72.27,116.38
595,19.8333,right,-72.34,116.2
596,19.8667,right,-72.63,116.9
597,19.9,right,-72.45,116.54
598,19.9333,right,-72.47,114.99
599,19.9667,right,-72.65,113.52
600,20.0,right,-72.6,113.05
601,20.0333,right,-73.25,113.64
602,20.0667,right,-73.31,113.54
603,20.1,right,-73.64,113.98
604,20.1333,right,-73.77,114.4
605,20.1667,right,-74.05,115.7
606,20.2,right,-74.12,116.41
607,20.2333,right,-73.7,117.56
